seed,simulate,simulate.scenario,simulate.output.file,fit,fit.output.file,mse.err
1,zh,1,zh/zh_1,ridge,ridge/zh_1_ridge_1,15.801114035252
1,zh,2,zh/zh_2,ridge,ridge/zh_2_ridge_1,13.8492101806573
1,zh,3,zh/zh_3,ridge,ridge/zh_3_ridge_1,226.41831837329
1,zh,4,zh/zh_4,ridge,ridge/zh_4_ridge_1,250.34995642437
2,zh,1,zh/zh_5,ridge,ridge/zh_5_ridge_1,13.0528563474825
2,zh,2,zh/zh_6,ridge,ridge/zh_6_ridge_1,13.1244641811895
2,zh,3,zh/zh_7,ridge,ridge/zh_7_ridge_1,225.031267453058
2,zh,4,zh/zh_8,ridge,ridge/zh_8_ridge_1,286.021502173481
3,zh,1,zh/zh_9,ridge,ridge/zh_9_ridge_1,12.2103527970482
3,zh,2,zh/zh_10,ridge,ridge/zh_10_ridge_1,11.8554951957411
3,zh,3,zh/zh_11,ridge,ridge/zh_11_ridge_1,255.504633003433
3,zh,4,zh/zh_12,ridge,ridge/zh_12_ridge_1,320.914893155209
4,zh,1,zh/zh_13,ridge,ridge/zh_13_ridge_1,11.5111803347708
4,zh,2,zh/zh_14,ridge,ridge/zh_14_ridge_1,11.1291651018467
4,zh,3,zh/zh_15,ridge,ridge/zh_15_ridge_1,223.977667480264
4,zh,4,zh/zh_16,ridge,ridge/zh_16_ridge_1,257.135066299504
5,zh,1,zh/zh_17,ridge,ridge/zh_17_ridge_1,11.4198472551145
5,zh,2,zh/zh_18,ridge,ridge/zh_18_ridge_1,11.4183001951504
5,zh,3,zh/zh_19,ridge,ridge/zh_19_ridge_1,236.391958349381
5,zh,4,zh/zh_20,ridge,ridge/zh_20_ridge_1,240.771120389977
6,zh,1,zh/zh_21,ridge,ridge/zh_21_ridge_1,10.7753912243811
6,zh,2,zh/zh_22,ridge,ridge/zh_22_ridge_1,11.0507624303699
6,zh,3,zh/zh_23,ridge,ridge/zh_23_ridge_1,257.187285429055
6,zh,4,zh/zh_24,ridge,ridge/zh_24_ridge_1,271.674704806552
7,zh,1,zh/zh_25,ridge,ridge/zh_25_ridge_1,12.0317689036321
7,zh,2,zh/zh_26,ridge,ridge/zh_26_ridge_1,11.285595525091
7,zh,3,zh/zh_27,ridge,ridge/zh_27_ridge_1,250.120331333379
7,zh,4,zh/zh_28,ridge,ridge/zh_28_ridge_1,293.413408574049
8,zh,1,zh/zh_29,ridge,ridge/zh_29_ridge_1,9.6698643910712
8,zh,2,zh/zh_30,ridge,ridge/zh_30_ridge_1,11.2309386805001
8,zh,3,zh/zh_31,ridge,ridge/zh_31_ridge_1,256.90288736568
8,zh,4,zh/zh_32,ridge,ridge/zh_32_ridge_1,284.365101264285
9,zh,1,zh/zh_33,ridge,ridge/zh_33_ridge_1,13.9650655856416
